Egg,Cycle Start,Cycle Stop
blk_10,29,39
34_2,97,107
37_2,158,168
36_2,237,247
36_5,305,315
33_1,384,394
33_4,461,471
8_5,527,537
6_1,597,607
39_5,664,674
42_5,770,780
35_1,840,850
35_5,910,920
7_5,951,961
5_1,1072,1082
35_2,1140,1150
36_1,1211,1221
33_5,1280,1290
33_2,1343,1353
8_2,1419,1429
39_1,1516,1526
39_2,1598,1608
34_5,1666,1676
37_1,1738,1748
34_1,1802,1812
20_1,1956,1966
19_4,2041,2051
20_5,2110,2120
46_1,2173,2183
46_5,2250,2260
38_5,2337,2347
19_3,2410,2420
19_2,2480,2490
20_4,2547,2557
45_5,2628,2638
46_2,2696,2706
49_1,2770,2780
20_2,2740,2750
19_1,2910,2920
19_5,2987,2997
45_4,3057,3067
46_3,3121,3131
47_1,3186,3196
20_3,3250,3260
45_2,3311,3321
45_1,3406,3416
45_3,3474,3484
46_4,3540,3550
50_1,3606,3616
22_2,3676,3686
23_3,3740,3750
blk_11,3838,3848